MOLECULAR SEXING,Sample number,season,sampling session,cormorant sex,RFU peak 1,RFU peak 2,MOLECULAR FISH IDENTIFICATION,Anguilla anguilla,Lota lota,Esox lucius,Rutilus rutilus,Phoxinus phoxinus,Abramis brama,Alburnus mento,Barbus barbus,Rutilus virgo,Squalius cephalus,Leuciscus spp.,Scardinius erythrophthalmus,Carassius spp.,Tinca tinca,Leuciscus aspius,Vimba vimba,Cyprinus carpio,Alburnoides bipunctatus,Alburnus alburnus,Oncorhynchus mykiss,Salvelinus spp.,Thymallus thymallus,Salmo trutta,Coregonus spp.,Lepomis gibbosus,Sander lucioperca,Perca fluviatilis,Gymnocephalus spp.,,MORPHOLOGICAL ANALYSIS: fish hard parts identifiable to species level and suitable for fish-length regression analysis,measurable individuals,Perca fluviatilis,Gymnocephalus cernua,Sander lucioperca,Lepomis gibbosus, Rutilus rutilus,Phoxinus phoxinus,Abramis brama,Alburnus mento,Barbus barbus,Rutilus virgo,Squalius cephalus,Leuciscus spp.,Scardinius erythrophthalmus,Carassius spp.,Tinca tinca,Leuciscus aspius,Vimba vimba,Cyprinus carpio,Ctenopharyngodon idella,Alburnoides bipunctatus,Alburnus alburnus,Oncorhynchus mykiss,Salvelinus spp.,Thymallus thymallus,Salmo trutta,Coregonus spp.,Lota lota,Esox lucius,Anguilla anguilla,,MORPHOLOGICAL ANALYSIS: all hard parts,fish individuals, Rutilus rutilus,Scardinius erythrophthalmus,Abramis brama,Tinca tinca,Cyprinus carpio,Ctenopharyngodon idella,Alburnus mento,Cyprinidae,Salmo trutta,Coregonus spp.,Perca fluviatilis,Sander lucioperca,Gymnocephalus spp.,Esox lucius,Lota lota,Anguilla anguilla,NID
,S334,breeding 2012,2,female,1.7346,3.9121,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
,S335,breeding 2012,2,male,,0.7404,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,S456,breeding 2012,3,female,3.5076,7.7589,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,S457,breeding 2012,3,female,2.755,5.4586,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,S458,breeding 2012,3,female,1.0475,4.3676,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,S459,breeding 2012,3,male,,1.0111,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,,7,0,0,0,0,0,0,0,1,0,0,3,0,0,0,3,0,0
,S460,breeding 2012,3,male,,3.9605,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
,S461,breeding 2012,3,male,,6.4326,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,S463,breeding 2012,3,male,,2.2511,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,S465,breeding 2012,3,female,0.5649,1.6933,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
